IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
15674,2024,Reese McGuire,29,0.2642568993113542,0.2095901991070483,0.318181380214115,0.3008953224041966,0.259,BOS,0.005256899311354202
15676,2024,Jose Abreu,37,0.3074000894193865,0.25922073746195606,0.3546967377139363,0.32078714683991205,0.164,HOU,0.1434000894193865
15679,2024,Rowdy Tellez,29,0.31283362454529606,0.2613674923767881,0.3642216654678932,0.30674126674340074,0.301,PIT,0.011833624545296073
15711,2024,Tyler O'Neill,29,0.3236968189314639,0.27266870041527613,0.37433197709476396,0.3185062356259779,0.36,BOS,0.03630318106853608
15730,2024,Tyler Wade,29,0.24209310329401293,0.1925773382630402,0.2911045586783658,0.29787477249441774,0.242,SDP,9.310329401293616e-5
15878,2024,Miguel Andujar,29,0.34476750395384675,0.2899712858331076,0.39814319458356656,0.3003337264064937,0.306,OAK,0.03876750395384676
15986,2024,Willy Adames,28,0.3337985565343824,0.2821219897111771,0.38495792633081716,0.31525304479089206,0.342,MIL,0.00820144346561763
15998,2024,Cody Bellinger,28,0.33265279599555186,0.28276383052706744,0.3824036760056154,0.30978191707170333,0.322,CHC,0.010652795995551856
16153,2024,Austin Slater,31,0.30599895677473343,0.2565273844834517,0.35540121252705015,0.3145848471022996,0.273,- - -,0.03299895677473341
16219,2024,J.D. Davis,31,0.31708080646011993,0.2663510098392259,0.36631702074584865,0.31500317462513877,0.282,- - -,0.03508080646011996
16252,2024,Trea Turner,31,0.37130040931595926,0.32239513492367006,0.41986608386461927,0.3314224033565536,0.349,PHI,0.02230040931595928
16337,2024,Nick Gordon,28,0.3086541217046084,0.25438561449049035,0.3624294151669138,0.3011911767107264,0.271,MIA,0.037654121704608357
16357,2024,Pablo Reyes,30,0.30968140650225234,0.2590447599332776,0.3602547792384209,0.3028173916989017,0.207,- - -,0.10268140650225235
16376,2024,Michael Conforto,31,0.3265176380315038,0.27874135392945837,0.3743802108637989,0.31552324218976024,0.327,SFG,4.823619684962144e-4
16426,2024,Thairo Estrada,28,0.3133059054450728,0.25841804550342495,0.3674337609309878,0.31068814275986134,0.256,SFG,0.0573059054450728
16442,2024,Ryan O'Hearn,30,0.3257546756450193,0.2752780362679488,0.3761359276011583,0.306619513562834,0.33,BAL,0.004245324354980706
16451,2024,Luis Guillorme,29,0.2647255409445078,0.21402402595864814,0.3150233969784054,0.30318620302319005,0.263,- - -,0.0017255409445077752
16478,2024,Kyle Schwarber,31,0.3731889393185526,0.3232636260555895,0.4222851613300044,0.3348190393733578,0.366,PHI,0.007188939318552634
16505,2024,Matt Chapman,31,0.370551226240636,0.32008343874399703,0.4200790186283463,0.3154541129715728,0.34,SFG,0.030551226240635998
16512,2024,Isiah Kiner-Falefa,29,0.2819274686098149,0.2310572520183628,0.33272820633708394,0.2959650712770515,0.299,- - -,0.01707253139018511
16530,2024,Mauricio Dubon,29,0.28608410702451675,0.2316420606695318,0.3397196672365605,0.29879445069430455,0.286,HOU,8.410702451677743e-5
